movie,year,id
The Naked Gun: From the Files of Police Squad!,1988,95705
A Nightmare on Elm Street 4: The Dream Master,1988,95742
Cinema Paradiso,1988,95765
Promised Land,1987,95916
Rambo III,1988,95956
Scrooged,1988,96061
Sleepaway Camp III: Teenage Wasteland,1989,96119
Tequila Sunrise,1988,96244
They Live,1988,96256
Twins,1988,96320
Waxwork,1988,96426
Who Framed Roger Rabbit,1988,96438
Willow,1988,96446
Working Girl,1988,96463
Young Guns,1988,96487
The 'Burbs,1989,96734
84C MoPic,1989,96744
The Abyss,1989,96754
Back to the Future Part II,1989,96874
Batman,1989,96895
Bill & Ted's Excellent Adventure,1989,96928
Black Rain,1989,96933
Born on the Fourth of July,1989,96969
Dead Poets Society,1989,97165
DeepStar Six,1989,97179
The Killer,1989,97202
Do the Right Thing,1989,97216
Driving Miss Daisy,1989,97239
A Dry White Season,1989,97243
Erik the Viking,1989,97289
The Fabulous Baker Boys,1989,97322
Field of Dreams,1989,97351
The Fly II,1989,97368
Friday the 13th Part VIII: Jason Takes Manhattan,1989,97388
Ghostbusters II,1989,97428
Harlem Nights,1989,97481
Heathers,1988,97493
Hider in the House,1989,97503
"Honey, I Shrunk the Kids",1989,97523
Indiana Jones and the Last Crusade,1989,97576
The Karate Kid Part III,1989,97647
Lethal Weapon 2,1989,97733
Leviathan,1989,97737
Licence to Kill,1989,97742
The Little Mermaid,1989,97757
Little Monsters,1989,97758
The Magic Toyshop,1987,97806
Major League,1989,97815
National Lampoon's Christmas Vacation,1989,97958
A Nightmare on Elm Street: The Dream Child,1989,97981
Pet Sematary,1989,98084
Road House,1989,98206
Say Anything,1989,98258
Sea of Love,1989,98273
Star Trek V: The Final Frontier,1989,98382
True Believer,1989,98524
Uncle Buck,1989,98554
The War of the Roses,1989,98621
We're No Angels,1989,98625
When Harry Met Sally...,1989,98635
"Sex, Lies, and Videotape",1989,98724
The Adventures of Ford Fairlane,1990,98987
Another 48 Hrs.,1990,99044
Awakenings,1990,99077
The Bonfire of the Vanities,1990,99165
Dances with Wolves,1990,99348
Darkman,1990,99365
Desperate Hours,1990,99409
Die Hard 2,1990,99423
Edward Scissorhands,1990,99487
The Exorcist III,1990,99528
Ghost,1990,99653
The Godfather Part III,1990,99674
Goodfellas,1990,99685
Gremlins 2: The New Batch,1990,99700
The Grifters,1990,99703
Hard to Kill,1990,99739
Hardware,1990,99740
Home Alone,1990,99785
The Hunt for Red October,1990,99810
Jacob's Ladder,1990,99871
Joe Versus the Volcano,1990,99892
Leatherface: Texas Chainsaw Massacre III,1990,99994
Memphis Belle,1990,100133
Miller's Crossing,1990,100150
Misery,1990,100157
Nightbreed,1990,100260
Predator 2,1990,100403
Pretty Woman,1990,100405
The Rescuers Down Under,1990,100477
State of Grace,1990,100685
To Sleep with Anger,1990,100791
Total Recall,1990,100802
Tremors,1990,100814
The Two Jakes,1990,100828
Wild at Heart,1990,100935
The Addams Family,1991,101272
American Shaolin,1991,101327
Backdraft,1991,101393
Barton Fink,1991,101410
Bill & Ted's Bogus Journey,1991,101452
Boyz n the Hood,1991,101507
Curly Sue,1991,101635
The Doors,1991,101761
Dutch,1991,101786
Father of the Bride,1991,101862
The Fisher King,1991,101889
Freddy's Dead: The Final Nightmare,1991,101917
Hangin' with the Homeboys,1991,101998
Highlander II: The Quickening,1991,102034
Hudson Hawk,1991,102070
JFK,1991,102138
Kafka,1991,102181
The Last Boy Scout,1991,102266
Life Stinks,1991,102303
Light Sleeper,1992,102307
Mobsters,1991,102460
My Girl,1991,102492
My Own Private Idaho,1991,102494
New Jack City,1991,102526
Point Break,1991,102685
Rambling Rose,1991,102753
The Rapture,1991,102757
Robin Hood: Prince of Thieves,1991,102798
The Rocketeer,1991,102803
The Silence of the Lambs,1991,102926
Star Trek VI: The Undiscovered Country,1991,102975
The Super,1991,103007
Talkin' Dirty After Dark,1991,103039
Terminator 2: Judgment Day,1991,103064
Thelma & Louise,1991,103074
What About Bob?,1991,103241
1492: Conquest of Paradise,1992,103594
Aladdin,1992,103639
Alien³,1992,103644
Bad Lieutenant,1992,103759
Basic Instinct,1992,103772
Batman Returns,1992,103776
The Bodyguard,1992,103855
Boomerang,1992,103859
Bram Stoker's Dracula,1992,103874
Buffy the Vampire Slayer,1992,103893
Candyman,1992,103919
City of Joy,1992,103976
The Crying Game,1992,104036
The Cutting Edge,1992,104040
Death Becomes Her,1992,104070
Deep Cover,1992,104073
The Distinguished Gentleman,1992,104114
A Few Good Men,1992,104257
Glengarry Glen Ross,1992,104348
Hellraiser III: Hell on Earth,1992,104409
Home Alone 2: Lost in New York,1992,104431
"Honey, I Blew Up the Kid",1992,104437
Jennifer 8,1992,104549
Knight Moves,1992,104627
The Last of the Mohicans,1992,104691
Malcolm X,1992,104797
Man Trouble,1992,104804
El Mariachi,1992,104815
The Mighty Ducks,1992,104868
My Cousin Vinny,1992,104952
Newsies,1992,104990
Passenger 57,1992,105104
Pet Sematary II,1992,105128
The Player,1992,105151
The Power of One,1992,105159
The Public Eye,1992,105187
Reservoir Dogs,1992,105236
Single White Female,1992,105414
Sister Act,1992,105417
Sneakers,1992,105435
Thunderheart,1992,105585
Twin Peaks: Fire Walk with Me,1992,105665
Under Siege,1992,105690
Unforgiven,1992,105695
Where the Day Takes You,1992,105810
Addams Family Values,1993,106220
Arcade,,106302
Arctic Blue,1993,106303
Army of Darkness,1992,106308
Batman: Mask of the Phantasm,1993,106364
Being Human,1994,106379
Benny & Joon,1993,106387
"Bodies, Rest & Motion",1993,106447
Body Snatchers,1993,106452
Body of Evidence,1992,106453
CB4,1993,106500
Cliffhanger,1993,106582
Coneheads,1993,106598
Cool Runnings,1993,106611
Dave,1993,106673
Dazed and Confused,1993,106677
Demolition Man,1993,106697
Even Cowgirls Get the Blues,1993,106834
Fatal Instinct,1993,106873
The Firm,1993,106918
The Fugitive,1993,106977
Groundhog Day,1993,107048
Hocus Pocus,1993,107120
Indecent Proposal,1993,107211
