movie,year,id
star trek: first contact,1996.0,117731
steel sharks,1997.0,117738
swingers,1996.0,117802
a thin line between love and hate,1996.0,117891
tin cup,1996.0,117918
trainspotting,1996.0,117951
white squall,1996.0,118158
one eight seven,1997.0,118531
absolute power,1997.0,118548
affliction,1997.0,118564
air force one,1997.0,118571
alien: resurrection,1997.0,118583
an american werewolf in paris,1997.0,118604
amistad,1997.0,118607
anaconda,1997.0,118615
anastasia,1997.0,118617
apt pupil,1998.0,118636
the assignment,1997.0,118647
austin powers: international man of mystery,1997.0,118655
batman & robin,1997.0,118688
bean,1997.0,118689
the big lebowski,1998.0,118715
boogie nights,1997.0,118749
booty call,1997.0,118750
breakdown,1997.0,118771
chasing amy,1997.0,118842
con air,1997.0,118880
conspiracy theory,1997.0,118883
contact,1997.0,118884
gang related,1997.0,118900
dark city,1998.0,118929
deep rising,1998.0,118956
the devil's advocate,1997.0,118971
donnie brasco,1997.0,119008
event horizon,1997.0,119081
face/off,1997.0,119094
fallen,1998.0,119099
the fifth element,1997.0,119116
g.i. jane,1997.0,119173
the game,1997.0,119174
gattaca,1997.0,119177
good will hunting,1997.0,119217
great expectations,1998.0,119223
grosse pointe blank,1997.0,119229
mrs. brown,1997.0,119280
the horse whisperer,1998.0,119314
the ice storm,1997.0,119349
inventing the abbotts,1997.0,119381
jackie brown,1997.0,119396
kundun,1997.0,119485
l.a. confidential,1997.0,119488
liar liar,1997.0,119528
the lost world: jurassic park,1997.0,119567
meet joe black,1998.0,119643
men in black,1997.0,119654
metro,1997.0,119664
mimic,1997.0,119675
my best friend's wedding,1997.0,119738
as good as it gets,1997.0,119822
the postman,1997.0,119925
primary colors,1998.0,119942
the relic,1997.0,120004
the saint,1997.0,120053
scream 2,1997.0,120082
soldier,1998.0,120157
spacejacked,,120174
spawn,1997.0,120177
sphere,1998.0,120184
three kings,1999.0,120188
starship troopers,1997.0,120201
state and main,2000.0,120202
suburbia,1996.0,120238
the sweet hereafter,1997.0,120255
a simple plan,1998.0,120324
titanic,1997.0,120338
tomorrow never dies,1997.0,120347
the truman show,1998.0,120382
u turn,1997.0,120399
american history x,1998.0,120586
antz,1998.0,120587
armageddon,1998.0,120591
being john malkovich,1999.0,120601
beloved,1998.0,120603
blade,1998.0,120611
the mummy,1999.0,120616
a bug's life,1998.0,120623
deep impact,1998.0,120647
dogma,1999.0,120655
enemy of the state,1998.0,120660
eyes wide shut,1999.0,120663
fantastic four,2005.0,120667
fear and loathing in las vegas,1998.0,120669
from hell,2001.0,120681
gods and monsters,1998.0,120684
godzilla,1998.0,120685
stepmom,1998.0,120686
the green mile,1999.0,120689
halloween h20: 20 years later,1998.0,120694
hard rain,1998.0,120696
"lock, stock and two smoking barrels",1998.0,120735
the lord of the rings: the fellowship of the ring,2001.0,120737
lost in space,1998.0,120738
the man in the iron mask,1998.0,120744
the mask of zorro,1998.0,120746
mighty joe young,1998.0,120751
